,assists,assistsTurnoverRatio,benchPoints,biggestLead,biggestLeadScore,biggestScoringRun,biggestScoringRunScore,blocks,blocksReceived,fastBreakPointsAttempted,fastBreakPointsMade,fastBreakPointsPercentage,fieldGoalsAttempted,fieldGoalsEffectiveAdjusted,fieldGoalsMade,fieldGoalsPercentage,foulsOffensive,foulsDrawn,foulsPersonal,foulsTeam,foulsTechnical,foulsTeamTechnical,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,leadChanges,minutes,minutesCalculated,points,pointsAgainst,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsInThePaintAttempted,pointsInThePaintMade,pointsInThePaintPercentage,pointsSecondChance,reboundsDefensive,reboundsOffensive,reboundsPersonal,reboundsTeam,reboundsTeamDefensive,reboundsTeamOffensive,reboundsTotal,secondChancePointsAttempted,secondChancePointsMade,secondChancePointsPercentage,steals,threePointersAttempted,threePointersMade,threePointersPercentage,timeLeading,timesTied,trueShootingAttempts,trueShootingPercentage,turnovers,turnoversTeam,turnoversTotal,twoPointersAttempted,twoPointersMade,twoPointersPercentage,BOS,Opppnent,WL
54,29,2.63636363636364,27,16,65-49,9,38-34,4,1,10,7,0.7,92,0.543478260869565,42,0.456521739130435,2,11,13,11,1,1,9,8,0.888888888888889,11,PT240M00.00S,PT240M,108,105,15,11,40,35,20,0.5714285714285711,10,36,8,44,4,1,3,48,9,4,0.444444444444444,5,46,16,0.347826086956522,PT28M05.05S,5,95.96,0.562734472696957,10,1,11,46,26,0.565217391304348,108,105,1
55,23,2.3,21,17,39-22,10,30-18,8,1,8,5,0.625,88,0.579545454545455,42,0.47727272727272696,1,14,15,14,0,0,19,15,0.789473684210526,11,PT240M00.00S,PT240M,117,107,17,10,40,32,20,0.625,18,33,12,45,7,3,4,52,12,7,0.583333333333333,7,50,18,0.36,PT37M01.04S,5,96.36,0.607098381070984,9,1,10,38,24,0.631578947368421,117,107,1
56,27,2.45454545454545,19,17,97-114,7,67-72,3,2,7,4,0.5714285714285711,79,0.626582278481013,40,0.506329113924051,0,16,22,22,1,0,16,15,0.9375,16,PT240M00.00S,PT240M,114,98,9,15,34,28,17,0.607142857142857,15,29,8,37,6,2,4,43,10,6,0.6,3,43,19,0.441860465116279,PT24M52.03S,5,86.04,0.662482566248256,11,0,11,36,21,0.583333333333333,114,98,1
57,30,2.30769230769231,28,30,73-103,16,26-40,4,1,7,4,0.5714285714285711,86,0.633720930232558,47,0.5465116279069769,0,14,14,14,0,1,13,8,0.615384615384615,5,PT240M00.00S,PT240M,117,94,9,10,60,39,30,0.769230769230769,8,41,5,46,8,4,4,54,8,4,0.5,1,44,15,0.340909090909091,PT37M29.03S,5,91.72,0.637810728303532,12,1,13,42,32,0.7619047619047621,117,94,1
58,29,3.625,37,24,92-116,8,5-12,3,3,13,4,0.307692307692308,94,0.537234042553192,41,0.436170212765958,1,25,13,12,1,0,28,20,0.714285714285714,4,PT240M00.00S,PT240M,121,107,12,18,32,29,16,0.551724137931034,29,35,17,52,7,1,6,59,17,10,0.5882352941176471,5,52,19,0.365384615384615,PT46M26.00S,3,106.32,0.569036869826938,7,1,8,42,22,0.5238095238095241,121,107,1
59,28,2.15384615384615,16,11,35-24,11,15-10,6,7,13,8,0.615384615384615,91,0.478021978021978,36,0.395604395604396,1,16,13,12,1,0,19,16,0.8421052631578949,4,PT240M00.00S,PT240M,103,106,19,20,40,38,20,0.5263157894736841,12,34,9,43,10,5,5,53,11,5,0.45454545454545503,8,47,15,0.319148936170213,PT12M22.08S,3,99.36,0.518317230273752,12,1,13,44,21,0.47727272727272696,103,106,0
60,20,1.11111111111111,16,8,48-40,10,88-85,2,5,7,6,0.857142857142857,92,0.451086956521739,36,0.39130434782608703,3,26,26,23,0,0,34,26,0.764705882352941,17,PT265M00.00S,PT265M,109,114,13,26,38,42,19,0.452380952380952,14,34,11,45,16,4,12,61,10,4,0.4,13,39,11,0.282051282051282,PT23M46.97S,13,106.96,0.509536275243082,16,2,18,53,25,0.47169811320754695,109,114,0
61,22,2.0,21,14,119-105,9,45-41,6,5,11,7,0.636363636363636,90,0.561111111111111,43,0.477777777777778,2,21,17,15,2,0,27,23,0.8518518518518521,2,PT240M00.00S,PT240M,124,114,16,8,52,37,26,0.7027027027027031,19,40,10,50,11,5,6,61,12,7,0.583333333333333,4,45,15,0.333333333333333,PT43M17.05S,2,101.88,0.60855908912446,11,0,11,45,28,0.622222222222222,124,114,1
62,27,2.07692307692308,63,53,102-155,14,6-18,2,6,11,6,0.545454545454545,95,0.673684210526316,54,0.5684210526315789,3,20,19,16,0,0,28,27,0.964285714285714,2,PT240M00.00S,PT240M,155,104,19,13,52,45,26,0.577777777777778,15,46,11,57,6,1,5,63,10,6,0.6,5,35,20,0.5714285714285711,PT46M45.00S,2,107.32,0.7221393961982859,11,2,13,60,34,0.566666666666667,155,104,1
63,31,1.63157894736842,26,37,108-71,13,37-11,6,4,10,7,0.7,102,0.593137254901961,51,0.5,3,13,21,18,0,0,7,5,0.714285714285714,0,PT240M00.00S,PT240M,126,107,16,23,52,38,26,0.68421052631579,17,36,15,51,9,2,7,60,15,8,0.533333333333333,11,53,19,0.358490566037736,PT47M11.00S,0,105.08,0.599543205177008,18,1,19,49,32,0.653061224489796,126,107,1
64,20,1.33333333333333,8,8,101-109,10,26-13,6,6,7,4,0.5714285714285711,95,0.557894736842105,45,0.473684210526316,2,16,19,17,1,1,19,13,0.68421052631579,6,PT240M00.00S,PT240M,119,111,9,6,52,48,26,0.541666666666667,23,39,16,55,7,1,6,62,16,9,0.5625,7,39,16,0.41025641025641,PT21M15.00S,6,103.36,0.575657894736842,15,0,15,56,29,0.517857142857143,119,111,1
65,18,1.38461538461538,12,12,27-15,9,104-101,11,0,10,8,0.8,77,0.558441558441558,37,0.48051948051948,4,22,22,18,3,0,26,22,0.846153846153846,4,PT240M00.00S,PT240M,108,104,18,14,42,27,21,0.777777777777778,4,39,7,46,7,4,3,53,6,2,0.333333333333333,6,39,12,0.307692307692308,PT38M35.00S,6,88.44,0.610583446404342,13,0,13,38,25,0.6578947368421051,108,104,1
